slug,provider,actionButtons,chain,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing
lens-explorer-mainnet,Lens Network,"[""[Explore](https://explorer.lens.xyz/)"",""[Docs](https://lens.xyz/docs/chain/overview)""]",mainnet,Custom,"[""Accounts"",""Transactions"",""Blocks"",""Tokens"",""Gas"",""Contracts""]","[""Token Tracker"",""NFT Tracking"",""Network Metrics""]",TRUE,"[""REST""]","[""TypeScript""]","[""Address"",""Transaction Hash"",""Block"",""Token""]",TRUE,TRUE,Free
lens-explorer-testnet,Lens Network,"[""[Explore](https://explorer.testnet.lens.xyz/)"",""[Docs](https://lens.xyz/docs/chain/overview)""]",testnet,Custom,"[""Accounts"",""Transactions"",""Blocks"",""Tokens"",""Gas"",""Contracts""]","[""Token Tracker"",""NFT Tracking"",""Network Metrics""]",FALSE,"[""REST""]","[""TypeScript""]","[""Address"",""Transaction Hash"",""Block"",""Token""]",TRUE,TRUE,Free
lenscan-mainnet,Lenscan,"[""[Explore](https://lenscan.io/)"",""[Docs](https://lens.xyz/docs/chain/overview)""]",mainnet,Custom,"[""Accounts"",""Transactions"",""Blocks"",""Tokens"",""Gas"",""Contracts""]","[""Token Tracker"",""NFT Tracking"",""Network Metrics""]",TRUE,"[""REST""]","[""TypeScript""]","[""Address"",""Transaction Hash"",""Block"",""Token""]",TRUE,TRUE,Free
lenscan-testnet,Lenscan,"[""[Explore](https://testnet.lenscan.io/)"",""[Docs](https://lens.xyz/docs/chain/overview)""]",testnet,Custom,"[""Accounts"",""Transactions"",""Blocks"",""Tokens"",""Gas"",""Contracts""]","[""Token Tracker"",""NFT Tracking"",""Network Metrics""]",FALSE,"[""REST""]","[""TypeScript""]","[""Address"",""Transaction Hash"",""Block"",""Token""]",TRUE,TRUE,Free
