slug,provider,actionButtons,chain,requiresLogin,hasCaptcha,price,starred,requiredMainnetBalance,dripLimitAmount,dripLimitPeriod,additionalNotes
alchemy-testnet-faucet,Alchemy,"[""[Get tokens](https://www.alchemy.com/faucets/lens-sepolia)""]",testnet,TRUE,TRUE,$0,FALSE,,,,
lenscan-testnet-faucet,Lenscan,"[""[Get tokens](https://testnet.lenscan.io/)""]",testnet,TRUE,TRUE,$0,FALSE,,,,
thirdweb-testnet-faucet,thirdweb,"[""[Get tokens](https://thirdweb.com/faucets)""]",testnet,TRUE,TRUE,$0,FALSE,,,,
