slug,provider,actionButtons,chain,technology,txSpeedSla,throughputSla,openSource,support,starred,availableApis,monitoringAndAnalytics,additionalFeatures,assetTypes,price,economicalSecurity,economicalSecurityNote,auditsPerformed,decentralizationModel,sdk,supportedChains
zksync-mainnet,ZKsync,"[""[Bridge](https://bridge.zksync.io/)"",""[Docs](https://lens.xyz/docs/chain/tools/bridging/zksync)""]",mainnet,ZK Rollup,null,null,FALSE,"[""Discord"",""Email""]",TRUE,"[""Asset Transfer""]","[""Blockscout"",""Custom Dashboards""]","[""ZK Rollup Security"",""Ethereum Security""]","[""GHO"",""ETH"",""USDC"",""USDT""]",Gas Fee,TRUE,Inherits Ethereum security,"[""Multiple audits by OpenZeppelin, 2023""]",Decentralized,"[""Solidity""]",
zksync-testnet,ZKsync,"[""[Bridge](https://portal.testnet.lens.dev/bridge/)"",""[Docs](https://lens.xyz/docs/chain/tools/bridging/zksync)""]",testnet,ZK Rollup,null,null,FALSE,"[""Discord"",""Email""]",FALSE,"[""Asset Transfer""]","[""Blockscout"",""Custom Dashboards""]","[""ZK Rollup Security"",""Ethereum Sepolia Security""]","[""GRASS"",""ETH"",""USDC"",""USDT""]",Gas Fee,TRUE,Inherits Ethereum Sepolia security,"[""Multiple audits by OpenZeppelin, 2023""]",Decentralized,"[""Solidity""]",
across-mainnet,!provider:across,,mainnet,,,,,,,,,,,,,,,,,
across-testnet,!provider:across,,testnet,,,,,,,,,,,,,,,,,
lensbridge-mainnet,Lens Bridge,"[""[Bridge](https://lens.xyz/bridge)"",""[Docs](https://lens.xyz/docs/chain/tools/bridging/lens)""]",mainnet,Cross-chain Messaging,null,null,FALSE,"[""Discord"",""Email""]",TRUE,"[""Cross-chain Messaging"",""Asset Transfer""]","[""Custom Dashboards""]","[""Lens Protocol Integration"",""Fast Bridging""]","[""GHO"",""ETH"",""USDC"",""USDT"",""ERC-20"",""ERC-721""]",Gas Fee,TRUE,Inherits Lens Network security,"[""Audit by Trail of Bits, 2024""]",Decentralized,"[""Solidity""]",
