slug,provider,actionButtons,chain,requiresLogin,hasCaptcha,requiredMainnetBalance,price,dripLimitAmount,dripLimitPeriod,additionalNotes,starred
solana-devnet-faucet,Solana,"[""[Faucet](https://faucet.solana.com/)""]",devnet,TRUE,TRUE,,$0,0.5/1/2.5/5 SOL,8h,"[""Requires GitHub authentification"",""Maximum 2 requests per 8 hours""]",FALSE
quicknode-faucet,!provider:quicknode-faucet,"[""[Faucet](https://faucet.quicknode.com/solana/devnet)""]",devnet,,,0.05 SOL,,0.05 SOL,,,
chainstack-faucet,!provider:chainstack-faucet,"[""[Faucet](https://faucet.chainstack.com/solana-devnet-faucet)""]",devnet,,,0.08 SOL,,Up to 1 SOL,,,
ghost-faucet,!provider:ghost-faucet,"[""[Faucet](https://ghostchain.io/faucet/solana-testnet/)""]",testnet,,,,,0.01 SOL,,,
