slug,provider,actionButtons,chain,technology,monitoringAndAnalytics,additionalFeatures,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing,starred
arkham,!provider:arkham,"[""[Explore](https://intel.arkm.com/explorer/entity/solana)""]",mainnet,,,,,,,,,,
blockchair,!provider:blockchair,"[""[Explore](https://blockchair.com/solana)""]",mainnet,,,,,,,,,,
oklink,!provider:oklink,"[""[Explore](https://www.oklink.com/solana)""]",mainnet,,,,,,,,,,
okx,!provider:okx,"[""[Explore](https://web3.okx.com/explorer/solana)""]",mainnet,,,,,,,,,,
solana-explorer-mainnet,Solana,"[""[Explore](https://explorer.solana.com/)""]",mainnet,Custom,"[""Accounts"",""Transactions"",""Blocks"",""Metrics""]","[""Protocol Insights"",""Transaction Tools"",""Cluster Support""]","[""JSON-RPC""]","[""TypeScript"",""React""]","[""Address"",""Transaction"",""Block"",""Program"",""Token""]",FALSE,FALSE,Free,FALSE
solana-explorer-devnet,Solana,"[""[Explore](https://explorer.solana.com/)""]",devnet,Custom,"[""Accounts"",""Transactions"",""Blocks"",""Metrics""]","[""Protocol Insights"",""Transaction Tools"",""Cluster Support""]","[""JSON-RPC""]","[""TypeScript"",""React""]","[""Address"",""Transaction"",""Block"",""Program"",""Token""]",FALSE,FALSE,Free,FALSE
solscan-mainnet,Solana,"[""[Explore](https://solscan.io/)""]",mainnet,Custom,"[""Transactions"",""Wallet Activities"",""Metrics""]","[""Core Analytics Tools"",""DeFi and NFT features"",""Developer and Security Tools""]","[""REST API""]",,"[""Transaction"",""Block"",""Program"",""Token""]",TRUE,TRUE,Free,FALSE
solscan-devnet,Solana,"[""[Explore](https://solscan.io/)""]",devnet,Custom,"[""Transactions"",""Wallet Activities"",""Metrics""]","[""Core Analytics Tools"",""DeFi and NFT features"",""Developer and Security Tools""]","[""REST API""]",,"[""Transaction"",""Block"",""Program"",""Token""]",TRUE,TRUE,Free,FALSE
