slug,provider,actionButtons,chain,dataSources,hasDashboard,availableApis,price,starred
dune-mainnet,!provider:dune,"[""[Dashboard](https://dune.com/hildobby/ethereum)""]",mainnet,,,,,
dune-sepolia,!provider:dune,"[""[Dashboard](https://dune.com/obchakevich/sepolia)""]",sepolia,,,,,
messari-mainnet,!provider:messari,"[""[Dashboard](https://messari.io/project/ethereum)""]",mainnet,,,,,
nansen-mainnet,!provider:nansen,"[""[Dashboard](https://app.nansen.ai/macro/blockchains?chain=ethereum)""]",mainnet,,,,,
glassnode-mainnet,!provider:glassnode,,mainnet,,,,,
defillama-mainnet,!provider:defillama,"[""[Dashboard](https://defillama.com/chain/ethereum)""]",mainnet,,,,,
cryptoquant-mainnet,!provider:cryptoquant,,mainnet,,,,,
