slug,provider,actionButtons,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed
api3-mainnet,!provider:api3,"[""[Docs](https://docs.api3.org/)""]",mainnet,,,,,,,,,,,
band-mainnet,!provider:band,"[""[Docs](https://docs.bandchain.org/)""]",mainnet,,,,,,,,,,,
chainlink-mainnet,!provider:chainlink,"[""[ETH/USD](https://data.chain.link/feeds/ethereum/mainnet/eth-usd)""]",mainnet,,,,,,,,,,,
chronicle-mainnet,!provider:chronicle,"[""[ETH/USD](https://chroniclelabs.org/dashboard/oracle/ETH/USD)""]",mainnet,,,,,,,,,,,
chronicle-sepolia,!provider:chronicle,"[""[SEP/USD](https://chroniclelabs.org/dashboard/oracle/ETH/USD#testnet=true&txn=0x395d4ceb7506e27e2227417719ca5c21e1baa9e3f5521a20e411ccb25f70bed9&contract=0xdd6D76262Fd7BdDe428dcfCd94386EbAe0151603&blockchain=SEP)""]",sepolia,,,,,,,,,,,
pyth-mainnet,!provider:pyth,"[""[ETH/USD](https://insights.pyth.network/price-feeds/Crypto.ETH%2FUSD)""]",mainnet,,,,,,,,,,,
redstone-mainnet,!provider:redstone,"[""[Docs](https://docs.redstone.finance/)""]",mainnet,,,,,,,,,,,
uma-mainnet,!provider:uma,"[""[Docs](https://docs.uma.xyz/)""]",mainnet,,,,,,,,,,,
witnet-mainnet,!provider:witnet,"[""[Docs](https://docs.witnet.io/)""]",mainnet,,,,,,,,,,,
