slug,provider,actionButtons,chain,dataSources,hasDashboard,availableApis,price,planName,planType,starred
cryptoquant-mainnet,!provider:cryptoquant,,mainnet,,,,,,,
defillama-mainnet,!provider:defillama,"[""[Dashboard](https://defillama.com/chain/ethereum)""]",mainnet,,,,,,,
dune-mainnet,!provider:dune,"[""[Dashboard](https://dune.com/hildobby/ethereum)""]",mainnet,,,,,,,
dune-sepolia,!provider:dune,"[""[Dashboard](https://dune.com/obchakevich/sepolia)""]",sepolia,,,,,,,
glassnode-mainnet,!provider:glassnode,,mainnet,,,,,,,
messari-mainnet,!provider:messari,"[""[Dashboard](https://messari.io/project/ethereum)""]",mainnet,,,,,,,
nansen-mainnet,!provider:nansen,"[""[Dashboard](https://app.nansen.ai/macro/overview?chain=ethereum)""]",mainnet,,,,,,,
