slug,provider,actionButtons,plan,nodeType,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,address
1rpc-public-recent-state,1rpc,"[""[Website](https://1rpc.io)"",""[Docs](https://docs.1rpc.io/)""]",Public,Recent-State,$0,$0,NULL,NULL,NULL,,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""10K protected reqs/day""]","[""Privacy Protected Relays""]","[""Real-time monitoring"",""Usage analytics"",""Advanced analytics"",""Customizable alerting and reporting"",""Transaction sanitizers""]","[""Global""]",
1rpc-free-recent-state,1rpc,"[""[Website](https://1rpc.io)"",""[Docs](https://docs.1rpc.io/)""]",Free,Recent-State,$0,$0,NULL,NULL,NULL,,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""20K protected reqs/day""]","[""Privacy Protected Relays""]","[""Real-time monitoring"",""Usage analytics"",""Advanced analytics"",""Customizable alerting and reporting"",""Transaction sanitizers""]","[""Global""]",
1rpc-pay-as-you-go-recent-state,1rpc,"[""[Buy](https://www.1rpc.io/#pricing)"",""[Docs](https://docs.1rpc.io/)""]",Pay-as-you-go,Recent-State,"$9.90/$29.90/mo, $8.33/$24.99/yearly",$0,NULL,NULL,NULL,99.90%,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""40K/100K protected reqs/day""]","[""Privacy Protected Relays"", ""Transaction Sanitizers""]","[""Real-time monitoring"",""Usage analytics"",""Advanced analytics"",""Customizable alerting and reporting"",""Transaction sanitizers""]","[""Global""]",
1rpc-enterprise-recent-state,1rpc,"[""[Contact](https://www.1rpc.io/#pricing)"",""[Docs](https://docs.1rpc.io/)""]",Enterprise,Recent-State,Custom,Custom,NULL,NULL,NULL,,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""custom limits""]","[""Privacy Protected Relays"", ""Transaction Sanitizers""]","[""Real-time monitoring"",""Usage analytics"",""Advanced analytics"",""Customizable alerting and reporting"",""Transaction sanitizers""]","[""Global""]",
alchemy-enterprise-recent-state,Alchemy,"[""[Contact](https://www.alchemy.com/contact-sales)"",""[Docs](https://www.alchemy.com/docs)""]",Enterprise,Recent-State,Custom,Custom pricing,NULL,NULL,NULL,99.99%,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace"",""nft"",""transfer"",""tokens"",""node""]","[""custom limits""]","[""TX simulation"",""DDoS Protection"",""IP Protection"",""Dedicated infrastructure""]","[""Usage analytics"",""Advanced analytics"",""Custom dashboards"",""Engineering support""]","[""Global""]",
alchemy-free-recent-state,Alchemy,"[""[Website](https://alchemy.com)"",""[Docs](https://www.alchemy.com/docs)""]",Free,Recent-State,$0,$0/1M request,NULL,NULL,NULL,,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace"",""nft"",""transfer"",""tokens"",""node""]","[""25 reqs/sec"",""30M CU/mo""]","[""TX simulation"",""DDoS Protection"",""IP Protection""]","[""Basic monitoring"",""Usage analytics""]","[""Global""]",
alchemy-pay-as-you-go-recent-state,Alchemy,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs)""]",Pay-as-you-go,Recent-State,$5/$45/$215/$415/$815/$2K,$0.40/$0.45/1M CUs,NULL,NULL,NULL,99.99%,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace"",""nft"",""transfer"",""tokens"",""node""]","[""300 req/sec""]","[""TX simulation"",""DDoS Protection"",""IP Protection"",""SAML SSO""]","[""Usage analytics"",""Custom alerts"",""Reporting"",""Custom monitoring"",""Advanced analytics""]","[""Global""]",
alchemy-free-full-archive,Alchemy,"[""[Website](https://alchemy.com)"",""[Docs](https://www.alchemy.com/docs)""]",Free,Full Archive,$0,$0/1M request,NULL,NULL,NULL,,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace"",""nft"",""transfer"",""tokens"",""node""]","[""25 reqs/sec"",""30M CU/mo""]","[""TX simulation"",""DDoS Protection"",""IP Protection""]","[""Basic monitoring"",""Usage analytics""]","[""Global""]",
alchemy-pay-as-you-go-full-archive,Alchemy,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs)""]",Pay-as-you-go,Full Archive,$5/$45/$215/$415/$815/$2K,$0.40/$0.45/1M CUs,NULL,NULL,NULL,99.99%,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace"",""nft"",""transfer"",""tokens"",""node""]","[""300 req/sec""]","[""TX simulation"",""DDoS Protection"",""IP Protection"",""SAML SSO""]","[""Usage analytics"",""Custom alerts"",""Reporting"",""Custom monitoring"",""Advanced analytics""]","[""Global""]",
alchemy-enterprise-full-archive,Alchemy,"[""[Contact](https://www.alchemy.com/contact-sales)"",""[Docs](https://www.alchemy.com/docs)""]",Enterprise,Full Archive,Custom,Custom pricing,NULL,NULL,NULL,99.99%,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace"",""nft"",""transfer"",""tokens"",""node""]","[""custom limits""]","[""TX simulation"",""DDoS Protection"",""IP Protection"",""Dedicated infrastructure""]","[""Usage analytics"",""Advanced analytics"",""Custom dashboards"",""Engineering support""]","[""Global""]",
allthatnode-free-recent-state,AllThatNode,"[""[Website](https://www.allthatnode.com)"",""[Docs](https://docs.allthatnode.com/docs/welcome-to-all-that-node)""]",Free,Recent-State,$0,$0/1M request,NULL,NULL,NULL,99.99%,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""500K CU/day"",""150 Cups throughput limit""]","[""IP Whitelisting"",""JWT Authentication"",""Smart Contract Address Restrictions"",""Front-Running Protection"",""Comprehensive Analytics Dashboard""]","[""Basic monitoring"",""Usage analytics""]","[""Global""]",
allthatnode-pay-as-you-go-recent-state,AllThatNode,"[""[Buy](https://www.allthatnode.com/pricing.dsrv)"",""[Docs](https://docs.allthatnode.com/docs/welcome-to-all-that-node)""]",Pay-as-you-go,Recent-State,"$29/$139/mo, $289/$1389/yearly",$0.58/$0.56 per 1M CUs,NULL,NULL,NULL,99.99%,NULL,NULL,FALSE,FALSE,"[""eth"",""net"",""web3"",""debug"",""trace"",""websocket""]","[""2M/10M CU/day"",""500/2K CUps throughput limit""]","[""IP Whitelisting"",""JWT Authentication"",""Smart Contract Address Restrictions"",""Front-Running Protection"",""Comprehensive Analytics Dashboard""]","[""Usage analytics"",""Custom alerts"",""Reporting""]","[""Global""]",
allthatnode-enterprise-recent-state,AllThatNode,"[""[Contact](https://www.allthatnode.com/pricing.dsrv)"",""[Docs](https://docs.allthatnode.com/docs/welcome-to-all-that-node)""]",Enterprise,Recent-State,Custom,Custom pricing,NULL,NULL,NULL,99.99%,NULL,NULL,FALSE,FALSE,"[""eth"",""net"",""web3"",""debug"",""trace"",""websocket""]","[""custom limits"",""unlimited throughput limit""]","[""IP Whitelisting"",""JWT Authentication"",""Smart Contract Address Restrictions"",""Front-Running Protection"",""Comprehensive Analytics Dashboard""]","[""Advanced analytics"",""Custom dashboards"",""Engineering support""]","[""Global""]",
allthatnode-enterprise-full-archive,AllThatNode,"[""[Contact](https://www.allthatnode.com/pricing.dsrv)"",""[Docs](https://docs.allthatnode.com/docs/welcome-to-all-that-node)""]",Enterprise,Full Archive,Custom,Custom pricing,NULL,NULL,NULL,99.99%,NULL,NULL,FALSE,FALSE,"[""eth"",""net"",""web3"",""debug"",""trace"",""websocket""]","[""custom limits"",""unlimited throughput limit""]","[""IP Whitelisting"",""JWT Authentication"",""Smart Contract Address Restrictions"",""Front-Running Protection"",""Comprehensive Analytics Dashboard""]","[""Advanced analytics"",""Custom dashboards"",""Engineering support""]","[""Global""]",
allthatnode-free-full-archive,AllThatNode,"[""[Website](https://www.allthatnode.com)"",""[Docs](https://docs.allthatnode.com/docs/welcome-to-all-that-node)""]",Free,Full Archive,$0,$0/1M request,NULL,NULL,NULL,99.99%,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""500K CU/day"",""150 Cups throughput limit""]","[""IP Whitelisting"",""JWT Authentication"",""Smart Contract Address Restrictions"",""Front-Running Protection"",""Comprehensive Analytics Dashboard""]","[""Basic monitoring"",""Usage analytics""]","[""Global""]",
allthatnode-pay-as-you-go-full-archive,AllThatNode,"[""[Buy](https://www.allthatnode.com/pricing.dsrv)"",""[Docs](https://docs.allthatnode.com/docs/welcome-to-all-that-node)""]",Pay-as-you-go,Full Archive,"$29/$139/mo, $289/$1389/yearly",$0.58/$0.56 per 1M CUs,NULL,NULL,NULL,99.99%,NULL,NULL,FALSE,FALSE,"[""eth"",""net"",""web3"",""debug"",""trace"",""websocket""]","[""2M/10M CU/day"",""500/2K CUps throughput limit""]","[""IP Whitelisting"",""JWT Authentication"",""Smart Contract Address Restrictions"",""Front-Running Protection"",""Comprehensive Analytics Dashboard""]","[""Usage analytics"",""Custom alerts"",""Reporting""]","[""Global""]",
ankr-free-recent-state,Ankr,"[""[Website](https://www.ankr.com/rpc/home/)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/)""]",Free,Recent-State,$0,$0,NULL,NULL,NULL,,NULL,NULL,FALSE,FALSE,"[""Advanced ANKR API"",""[eth](https://www.ankr.com/docs/rpc-service/chains/chains-list/)"",""[debug](https://www.ankr.com/docs/rpc-service/chains/chains-list/)"",""[web3](https://www.ankr.com/docs/rpc-service/chains/chains-list/)""]","[""free 200M API credits/mo"",""30 reqs/sec (node API)"",""30 reqs/min (advanced API)"",""1 project (personal API tokens)""]","[""DDoS Protection"",""IP Protection"",""Domain name protection"",""Custom rate limiting"",""Method Limiting"",""Error tracing"",""Contract addresses protection""]","[""Usage analytics"", ""Community support""]","[""Global""]",
ankr-pay-as-you-go-recent-state,Ankr,"[""[Buy](https://www.ankr.com/rpc/pricing/)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/)""]",Pay-as-you-go,Recent-State,up to $10(payg plan)/$500-$3K(deal plan),$0.02(evm compatible API)/$0.05(solana API)/$0.07(beacon chains API)/$0.01(other API)/$0.07(advanced API) per 1K reqs,NULL,NULL,NULL,,NULL,NULL,FALSE,FALSE,"[""Advanced ANKR API"",""[eth](https://www.ankr.com/docs/rpc-service/chains/chains-list/)"",""[debug](https://www.ankr.com/docs/rpc-service/chains/chains-list/)"",""[web3](https://www.ankr.com/docs/rpc-service/chains/chains-list/)""]","[""1.5K reqs/sec (node API)"",""1K reqs/min (advanced API)"",""3 projects (personal API tokens)""]","[""DDoS Protection"",""IP Protection"",""Domain name protection"",""Custom rate limiting"",""Error tracing""]","[""Usage analytics"",""Custom monitoring"", ""Support portal""]","[""Global""]",
ankr-enterprise-recent-state,Ankr,"[""[Contact](https://meetings-eu1.hubspot.com/arsalan-evini?uuid=1b49e1e7-1f13-474b-8561-2ad7279d4b9d)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/)""]",Enterprise,Recent-State,Custom,custom,NULL,NULL,NULL,,NULL,NULL,FALSE,FALSE,"[""Advanced ANKR API"",""[eth](https://www.ankr.com/docs/rpc-service/chains/chains-list/)"",""[debug](https://www.ankr.com/docs/rpc-service/chains/chains-list/)"",""[web3](https://www.ankr.com/docs/rpc-service/chains/chains-list/)""]","[""custom limits""]","[""DDoS Protection"",""IP Protection"",""Domain name protection"",""Custom rate limiting"",""Error tracing""]","[""Usage analytics"",""Custom monitoring"", ""Engineering team support""]","[""Global""]",
ankr-free-full-archive,Ankr,"[""[Website](https://www.ankr.com/rpc/home/)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/)""]",Free,Full Archive,$0,$0,NULL,NULL,NULL,,NULL,NULL,FALSE,FALSE,"[""Advanced ANKR API"",""[eth](https://www.ankr.com/docs/rpc-service/chains/chains-list/)"",""[debug](https://www.ankr.com/docs/rpc-service/chains/chains-list/)"",""[web3](https://www.ankr.com/docs/rpc-service/chains/chains-list/)""]","[""free 200M API credits/mo"",""30 reqs/sec (node API)"",""30 reqs/min (advanced API)"",""1 project (personal API tokens)""]","[""DDoS Protection"",""IP Protection"",""Domain name protection"",""Custom rate limiting"",""Method Limiting"",""Error tracing"",""Contract addresses protection""]","[""Usage analytics"", ""Community support""]","[""Global""]",
ankr-pay-as-you-go-full-archive,Ankr,"[""[Buy](https://www.ankr.com/rpc/home/)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#ethereum)""]",Pay-as-you-go,Full Archive,up to $10(payg plan)/$500-$3K(deal plan),$20(evm compatible API)/$50(solana API)/$70(beacon chains API)/$10(other API)/$70(advanced API) per 1M reqs,NULL,NULL,NULL,Custom SLA,NULL,NULL,FALSE,FALSE,"[""Advanced ANKR API"",""[eth](https://www.ankr.com/docs/rpc-service/chains/chains-list/)"",""[debug](https://www.ankr.com/docs/rpc-service/chains/chains-list/)"",""[web3](https://www.ankr.com/docs/rpc-service/chains/chains-list/)"", ""debug"", ""trace""]","[""1.5K reqs/sec (node API)"",""1K reqs/min (advanced API)"",""3 projects (personal API tokens)""]","[""DDoS Protection"", ""IP Protection"", ""Privacy preserving""]","[""Usage analytics"",""Custom monitoring"", ""Support portal""]","[""Global""]",
ankr-enterprise-full-archive,Ankr,"[""[Contact](https://meetings-eu1.hubspot.com/arsalan-evini?uuid=1b49e1e7-1f13-474b-8561-2ad7279d4b9d)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/)""]",Enterprise,Full Archive,Custom,custom,NULL,NULL,NULL,,NULL,NULL,FALSE,FALSE,"[""Advanced ANKR API"",""[eth](https://www.ankr.com/docs/rpc-service/chains/chains-list/)"",""[debug](https://www.ankr.com/docs/rpc-service/chains/chains-list/)"",""[web3](https://www.ankr.com/docs/rpc-service/chains/chains-list/)""]","[""custom limits""]","[""DDoS Protection"",""IP Protection"",""Domain name protection"",""Custom rate limiting"",""Error tracing""]","[""Usage analytics"",""Custom monitoring"", ""Engineering team support""]","[""Global""]",
astar-free-recent-state,Astar,"[""[Website](https://astar.network)"",""[Docs](https://docs.astar.network)""]",Free,Recent-State,$0,$0,NULL,NULL,NULL,,,,FALSE,FALSE,"[""eth"",""web3"",""net"",""substrate""]","[""limited when overused"",""not for production""]",,,,
blockdaemon-enterprise-recent-state,Blockdaemon,"[""[Contact](https://www.blockdaemon.com/api/pricing#form-jump)"",""[Docs](https://docs.blockdaemon.com/docs)""]",Enterprise,Recent-State,Custom,Custom,NULL,NULL,NULL,99.90%,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""up to 400M CUs/mo"",""custom limits"",""1 Test Key"",""10 Live Keys""]","[""DDoS Protection"",""IP Protection""]","[""Usage analytics"",""Custom monitoring""]","[""South Africa"", ""Asia"", ""Canada Central"", ""Europe"", ""South America"", ""US""]",
blockdaemon-free-recent-state,Blockdaemon,"[""[Website](https://app.blockdaemon.com/)"",""[Docs](https://docs.blockdaemon.com/docs)""]",Free,Recent-State,$0,$0,NULL,NULL,NULL,99.90%,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""3M CUs/mo"",""5 RPS"",""1 Test Key""]","[""DDoS Protection"",""IP Protection""]","[""Usage analytics""]","[""South Africa"", ""Asia"", ""Canada Central"", ""Europe"", ""South America"", ""US""]",
blockdaemon-pay-as-you-go-recent-state,Blockdaemon,"[""[Buy](https://www.blockdaemon.com/api/pricing)"",""[Docs](https://docs.blockdaemon.com/docs)""]",Pay-as-you-go,Recent-State,,$42.5/$20 per 1M extra CU,NULL,NULL,NULL,99.90%,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""15-65M/115-365M CUs/mo"",""100/200 RPS"",""1 Test Key"",""10 Live Keys""]","[""DDoS Protection"",""IP Protection""]","[""Usage analytics"",""Custom monitoring""]","[""South Africa"", ""Asia"", ""Canada Central"", ""Europe"", ""South America"", ""US""]",
blockdaemon-free-full-archive,Blockdaemon,"[""[Website](https://app.blockdaemon.com/)"",""[Docs](https://docs.blockdaemon.com/docs)""]",Free,Full Archive,$0,$0,NULL,NULL,NULL,99.90%,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""3M CUs/mo"",""5 RPS"",""1 Test Key""]","[""DDoS Protection"",""IP Protection""]","[""Usage analytics""]","[""South Africa"", ""Asia"", ""Canada Central"", ""Europe"", ""South America"", ""US""]",
blockdaemon-pay-as-you-go-full-archive,Blockdaemon,"[""[Buy](https://www.blockdaemon.com/api/pricing)"",""[Docs](https://docs.blockdaemon.com/docs)""]",Pay-as-you-go,Full Archive,,$42.5/$20 per 1M extra CU,NULL,NULL,NULL,99.90%,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""15-65M/115-365M CUs/mo"",""100/200 RPS"",""1 Test Key"",""10 Live Keys""]","[""DDoS Protection"",""IP Protection""]","[""Usage analytics"",""Custom monitoring""]","[""South Africa"", ""Asia"", ""Canada Central"", ""Europe"", ""South America"", ""US""]",
blockdaemon-enterprise-full-archive,Blockdaemon,"[""[Contact](https://www.blockdaemon.com/api/pricing#form-jump)"",""[Docs](https://docs.blockdaemon.com/docs)""]",Enterprise,Full Archive,Custom,Custom,NULL,NULL,NULL,99.90%,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""up to 400M CUs/mo"",""custom limits"",""1 Test Key"",""10 Live Keys""]","[""DDoS Protection"",""IP Protection""]","[""Usage analytics"",""Custom monitoring""]","[""South Africa"", ""Asia"", ""Canada Central"", ""Europe"", ""South America"", ""US""]",
blockdaemon-dedicated-recent-state,Blockdaemon,"[""[Contact](https://www.blockdaemon.com/api/pricing#form-jump)"",""[Docs](https://docs.blockdaemon.com/docs)""]",Dedicated,Recent-State,Custom,Custom,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""custom limits""]","[""DDoS Protection"",""IP Protection"",""Dedicated infrastructure""]","[""Usage analytics"", ""Custom monitoring"", ""Advanced analytics""]","[""Global""]",
blockpi-free-recent-state,BlockPi,"[""[Website](https://blockpi.io/)"",""[Docs](https://docs.blockpi.io/)""]",Free,Recent-State,$0,$0,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,"[""eth"",""net"",""web3"",""debug"",""trace""]","[""50M Rus/mo"",""20 req/sec rate limit""]",,"[""Real-time dashboard metrics""]","[""Global""]",
blockpi-pay-as-you-go-recent-state,BlockPi,"[""[Buy](https://blockpi.io/pricing/)"",""[Docs](https://docs.blockpi.io/)""]",Pay-as-you-go,Recent-State,$0.01/$49/$299,$0.20/1M CU,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,"[""eth"",""net"",""web3"",""debug"",""trace""]","[""actual RU usage+50M/mo/125M CUs/750M CUs"",""20/1K/2.5K req/sec rate limit""]",,"[""Real-time dashboard metrics""]","[""Global""]",
blockpi-enterprise-recent-state,BlockPi,"[""[Contact](https://blockpi.io/pricing/)"",""[Docs](https://docs.blockpi.io/)""]",Enterprise,Recent-State,Custom,Custom,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,"[""eth"",""net"",""web3"",""debug"",""trace""]","[""custom limits""]",,"[""Advanced analytics via Grafana/Prometheus"",""Custom alerting (Slack/Telegram)"",""Engineering team support""]","[""Global""]",
blockpi-free-full-archive,BlockPi,"[""[Website](https://blockpi.io/)"",""[Docs](https://docs.blockpi.io/)""]",Free,Full Archive,$0,$0,NULL,NULL,NULL,99.20%,NULL,NULL,FALSE,FALSE,"[""eth"",""net"",""web3"",""debug"",""trace""]","[""50M Rus/mo"",""20 req/sec rate limit""]","[""DDoS Protection"", ""IP Protection"", ""Privacy preserving""]","[""Real-time dashboard metrics""]","[""Global""]",
blockpi-pay-as-you-go-full-archive,BlockPi,"[""[Buy](https://blockpi.io/pricing/)"",""[Docs](https://docs.blockpi.io/)""]",Pay-as-you-go,Full Archive,$0.01/$49/$299,$0.20/1M CU,NULL,NULL,NULL,99.20%,NULL,NULL,FALSE,FALSE,"[""eth"",""net"",""web3"",""debug"",""trace""]","[""actual RU usage+50M/mo/125M CUs/750M CUs"",""20/1K/2.5K req/sec rate limit""]","[""DDoS Protection"", ""IP Protection"", ""Privacy preserving""]","[""Real-time dashboard metrics""]","[""Global""]",
blockpi-enterprise-full-archive,BlockPi,"[""[Contact](https://blockpi.io/pricing/)"",""[Docs](https://docs.blockpi.io/)""]",Enterprise,Full Archive,Custom,Custom,NULL,NULL,NULL,99.2%,NULL,NULL,FALSE,FALSE,"[""eth"",""net"",""web3"",""debug"",""trace""]","[""custom limits""]","[""DDoS Protection"", ""IP Protection"", ""Privacy preserving""]","[""Advanced analytics via Grafana/Prometheus"",""Custom alerting (Slack/Telegram)"",""Engineering team support""]","[""Global""]",
blockvision-enterprise-full-archive,BlockVision,"[""[Buy](https://blockvision.org/pricing)"",""[Docs](https://docs.blockvision.org/reference/)""]",Enterprise,Full Archive,Custom,Custom,NULL,NULL,NULL,99.90%,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace""]",,"[""DDoS Protection"", ""IP Protection""]","[""Usage analytics"",""Custom monitoring"", ""Engineering team support""]","[""Global""]",
blockvision-free-full-archive,BlockVision,"[""[Buy](https://blockvision.org/pricing)"",""[Docs](https://docs.blockvision.org/reference/)""]",Free,Full Archive,$0,,NULL,NULL,NULL,99.90%,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""~720 req/min""]","[""DDoS Protection"", ""IP Protection""]","[""Basic monitoring""]","[""Global""]",
blockvision-pay-as-you-go-full-archive,BlockVision,"[""[Buy](https://blockvision.org/pricing)"",""[Docs](https://docs.blockvision.org/reference/)""]",Pay-as-you-go,Full Archive,$29/$99/$199,,NULL,NULL,NULL,99.90%,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace""]","[""1200 / 2400 / 4800 req/min""]","[""DDoS Protection"", ""IP Protection""]","[""Usage analytics"",""Custom monitoring"", ""Support portal""]","[""Global""]",
chainbase-free-custom,ChainBase,"[""[Website](https://platform.chainbase.com/)"",""[Docs](https://docs.chainbase.com/platform/features/api/chain-rpc)""]",Custom,Recent-State,$0,$0,NULL,NULL,NULL,,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""2 reqs/sec"",""3 projects""]","[""DDoS Protection"", ""IP Protection"", ""Data Consistency""]","[""Basic monitoring""]","[""Global""]",
chainbase-pay-as-you-go-custom,ChainBase,"[""[Buy](https://platform.chainbase.com/pricing)"",""[Docs](https://docs.chainbase.com/platform/features/api/chain-rpc)""]",Custom,Recent-State,$99,,NULL,NULL,NULL,,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""10 reqs/sec"",""15 projects""]","[""DDoS Protection"", ""IP Protection"", ""Data Consistency""]","[""Usage analytics"", ""Custom monitoring"", ""Support portal""]","[""Global""]",
chainbase-enterprise-custom,ChainBase,"[""[Contact](https://platform.chainbase.com/contact)"",""[Docs](https://docs.chainbase.com/platform/features/api/chain-rpc)""]",Custom,Full Archive,Custom,Custom,NULL,NULL,NULL,,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net""]",,"[""DDoS Protection"", ""IP Protection"", ""Data Consistency""]","[""Advanced analytics"", ""Custom monitoring""]","[""Global""]",
chain-love-dedicated,Chain.Love,"[""[Buy](/rpc)"",""[Docs](https://protofire-org.gitbook.io/proteus-shield-docs/blockchains/astar)""]",Dedicated,Full Archive,$300,$0,NULL,NULL,NULL,,,,TRUE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace""]",null,"[""DDoS Protection"", ""IP Protection"", ""Domain name protection"", ""Custom rate limiting""]","[""per-method analytics"", ""requests amount monitoring API""]","[""Asia"",""Europe"",""US""]",
chain-love-free,Chain.Love,"[""[Website](/rpc)"",""[Docs](https://protofire-org.gitbook.io/proteus-shield-docs/blockchains/astar)""]",Free,Full Archive,$0,$0,NULL,NULL,NULL,,,,TRUE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace""]","[""100K requests per month""]","[""DDoS Protection"", ""IP Protection"", ""Domain name protection"", ""Custom rate limiting""]","[""per-method analytics"", ""requests amount monitoring API""]","[""US"",""Asia""]",
chain-love-pay-as-you-go,Chain.Love,"[""[Buy](/rpc)"",""[Docs](https://protofire-org.gitbook.io/proteus-shield-docs/blockchains/astar)""]",Pay-as-you-go,Full Archive,$30,$2/1M requests,NULL,NULL,NULL,,,,TRUE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace""]",null,"[""DDoS Protection"", ""IP Protection"", ""Domain name protection"", ""Custom rate limiting""]","[""per-method analytics"", ""requests amount monitoring API""]","[""US"",""Asia""]",
chainnodes-free-full-archive,Chainnodes,"[""[Website](https://www.chainnodes.org)"",""[Docs](https://www.chainnodes.org/docs)""]",Free,Full Archive,$0,$0,NULL,NULL,NULL,99.90%,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace""]","[""25 req/sec"",""12.5M req/mo""]","[""DDoS Protection"", ""IP Protection"", ""Data Consistency""]","[""Usage analytics"",""Basic monitoring""]","[""Global""]",
chainnodes-pay-as-you-go-full-archive,Chainnodes,"[""[Buy](https://www.chainnodes.org/pricing)"",""[Docs](https://www.chainnodes.org/docs)""]",Pay-as-you-go,Full Archive,"$50/$250/$1K/mo, $500/$2.5K/$10K/yearly",$50/13M requests/mo,NULL,NULL,NULL,99.90%,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace""]","[""50/100/500 req/sec"",""25M125M/500M req/mo""]","[""DDoS Protection"", ""IP Protection"", ""Data Consistency""]","[""Usage analytics"", ""Custom monitoring"", ""Priority support""]","[""Global""]",
chainstack-free-recent-state,ChainStack,"[""[Website](https://chainstack.com)"",""[Docs](https://docs.chainstack.com/docs/)""]",Free,Recent-State,$0,$20/1M extra requests,NULL,NULL,NULL,99.90%,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""25 RPS"",""3M requests/mo""]","[""DDoS Protection"",""IP Protection""]","[""Usage analytics"",""Basic monitoring""]","[""Global""]",
chainstack-pay-as-you-go-recent-state,ChainStack,"[""[Buy](https://chainstack.com/pricing/)"",""[Docs](https://docs.chainstack.com/docs/)""]",Pay-as-you-go,Recent-State,"$49/$199/$349/mo (monthly plan), $40/$166/$290/mo (yearly plan)",$15/$12.5/$10 per 1M extra requests,NULL,NULL,NULL,99.90%,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace""]","[""250/400/600 RPS"",""20M/80M/140M requests"",""10,15,20 nodes""]","[""DDoS Protection"",""IP Protection"",""Dedicated infrastructure""]","[""Usage analytics"",""Custom monitoring"", ""Engineering team support""]","[""Global""]",
chainstack-enterprise-recent-state,ChainStack,"[""[Contact](https://console.chainstack.com/user/account#signup?plan=enterprise)"",""[Docs](https://docs.chainstack.com/docs/)""]",Enterprise,Recent-State,"up to $990/mo (monthly plan), up to $825/mo (yearly plan)",$5/1M extra requests,NULL,NULL,NULL,99.99%,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace""]","[""400M requests""]","[""DDoS Protection"",""IP Protection"",""Dedicated infrastructure""]","[""Advanced analytics"",""Custom monitoring""]","[""Global""]",
