slug,provider,actionButtons,planName,planType,historicalData,apiType,technology,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,supportSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address
radiumblock-free-recent-state,RadiumBlock,"[""[Website](https://radiumblock.com)""]",,Free,Pruned,RPC,EVM JSON-RPC,$0,$0,NULL,NULL,NULL,,NULL,NULL,,FALSE,FALSE,"[""Decentralized RPC endpoints"",""Multi-chain support""]","[""rate limiting applies""]",,"[""Advanced encryption protocols"",""Continuous monitoring"",""Automated failover mechanisms""]","[""Global""]",,
radiumblock-pay-as-you-go-recent-state,RadiumBlock,"[""[Buy](https://radiumblock.com/pricing.html)""]",,Pay-as-you-go,Pruned,RPC,EVM JSON-RPC,$150/$400/$750,,NULL,NULL,NULL,,NULL,NULL,,FALSE,FALSE,"[""Decentralized RPC endpoints"",""Multi-chain support""]","[""rate limiting applies""]",,"[""Advanced encryption protocols"",""Continuous monitoring"",""Automated failover mechanisms""]","[""Global""]",,
rpcfast-enterprise-full-archive,RPCFast,"[""[Website](https://rpcfast.com)"",""[Docs](https://docs.rpcfast.com/rpc-fast-saas/pricing-and-plans)"",""[Contact](https://docs.rpcfast.com/contacts-and-support/contacts)""]",,Enterprise,Archive,RPC,EVM JSON-RPC,From $2000/mo + server cost,$0,NULL,NULL,NULL,99.9%,NULL,NULL,,FALSE,FALSE,"[""eth"",""net"",""web3"",""trace"",""bor"",""erigon""]","[""custom limits""]","[""Full-cycle DevOps service""]","[""Real-time monitoring"",""Predictive automatic Autoscaling""]","[""Global""]",,
rpcfast-free-recent-state,RPCFast,"[""[Website](https://rpcfast.com)"",""[Docs](https://docs.rpcfast.com/rpc-fast-saas/pricing-and-plans)"",""[Contact](https://docs.rpcfast.com/contacts-and-support/contacts)""]",,Free,Pruned,RPC,EVM JSON-RPC,$0,$0,NULL,NULL,NULL,99.9%,NULL,NULL,,FALSE,FALSE,"[""eth"",""net"",""web3"",""trace"",""bor"",""erigon""]","[""300M CU"",""WS bandwidth 0.04 CU/byte""]","[""Unique API Key""]","[""Dashboard & Statistics"",""AI-based predictive autoscaling""]","[""Europe""]",,
sqd-free-indexer,SQD Cloud,,,Free,Archive,Indexed Data,Decentralized Data Lakes,$0,$0,NULL,NULL,NULL,,,,,FALSE,FALSE,"[""GraphQL"",""SQL""]","[""1 squid""]","[""Decentralized storage"",""IP Protection""]","[""Data lake logs"",""Usage analytics""]","[""Global""]","[""ETL query stack"",""Decentralized indexing"",""Discord support""]",null
sqd-pay-as-you-go-indexer,SQD Cloud,,,Pay-as-you-go,Archive,Indexed Data,Decentralized Data Lakes,$86+ (depending on squid needs may go up to $1.5K and higher),$0,NULL,NULL,NULL,,,,,FALSE,FALSE,"[""GraphQL"",""SQL""]",,"[""Decentralized storage"",""IP Protection""]","[""Data lake logs"",""Usage analytics""]","[""Global""]","[""ETL query stack"",""Decentralized indexing"",""Hard SLA with compensations""]",null
subquery-pay-as-you-go-full-archive,Subquery,"[""[Website](https://app.subquery.network/explorer/home?category=rpc)"",""[Docs](https://subquery.network/doc/subquery_network/introduction/introduction.html)""]",,Pay-as-you-go,Archive,RPC,EVM JSON-RPC,,1.5K/3K SQT/1M reqs,NULL,NULL,NULL,,NULL,NULL,,FALSE,FALSE,"[""Decentralized RPC endpoints"",""Multi-chain support""]","[""Price may vary depending on the value of the token""]","[""Decentralized storage"",""IP Protection""]","[""Data lake logs"",""Usage analytics""]","[""Global""]",,
subquery-pay-as-you-go-indexer,Subquery,,,Pay-as-you-go,Archive,Indexed Data,Custom,,15K SQT/1M  reqs,NULL,NULL,NULL,,,,,FALSE,FALSE,"[""GraphQL"",""SQL""]","[""Price may vary depending on the value of the token""]","[""Decentralized storage"",""IP Protection""]","[""Data lake logs"",""Usage analytics""]","[""Global""]","[""ETL query stack"",""Decentralized indexing"",""Hard SLA with compensations""]",null
subquery-public-full-archive,Subquery,"[""[Website](https://app.subquery.network/explorer/home?category=rpc)"",""[Docs](https://subquery.network/doc/subquery_network/introduction/introduction.html)""]",,Public,Archive,RPC,EVM JSON-RPC,$0,$0,NULL,NULL,NULL,,NULL,NULL,,FALSE,FALSE,"[""Decentralized RPC endpoints"",""Multi-chain support""]","[""Rate limits apply""]","[""Decentralized storage"",""IP Protection""]","[""Data lake logs"",""Usage analytics""]","[""Global""]",,
tatum-enterprise-full-archive,Tatum,"[""[Contact](https://tatum.io/get-in-touch)"",""[Docs](https://docs.tatum.io/)""]",,Enterprise,Archive,RPC,EVM JSON-RPC,Custom,Custom,NULL,NULL,NULL,99.99%,NULL,NULL,,FALSE,FALSE,"[""Wallet and address management"",""Transaction broadcasting"",""Query of blockchain state"",""Asset management""]","[""Unlimited API Calls"",""Custom Rate Limits"",""30-day notification history"",""Up to 1K req/s""]","[""Key Management System (KMS)"",""Local Transaction Signing"",""Four-Eye Principle"",""Periodic Transaction Fetching and Signing Automation""]","[""Simplified RPC calls"",""Debugging Tools"",""Tracking activities"",""Advanced analytics""]","[""Global""]",,
