slug,provider,actionButtons,chain,requiresLogin,hasCaptcha,price,starred,requiredMainnetBalance,dripLimitAmount,dripLimitPeriod,additionalNotes
beryx-faucet,Beryx,"[""[Get tokens](https://beryx.io/faucet)""]",calibnet,FALSE,FALSE,$0,FALSE,,,,
chainsafe-faucet,ChainSafe,"[""[Get tokens](https://faucet.calibnet.chainsafe-fil.io/funds.html)""]",calibnet,FALSE,FALSE,$0,FALSE,,,,
