slug,provider,actionButtons,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed
pyth-calibnet,!provider:pyth,"[""[FIL/USD](https://insights.pyth.network/price-feeds/Crypto.FIL%2FUSD)"",""[Docs](https://docs.pyth.network/)""]",calibnet,,,,,,,,,,,
pyth-mainnet,!provider:pyth,"[""[FIL/USD](https://insights.pyth.network/price-feeds/Crypto.FIL%2FUSD)"",""[Docs](https://docs.pyth.network/)""]",mainnet,,,,,,,,,,,
