slug,provider,actionButtons,chain,dataSources,hasDashboard,availableApis,price,starred
dune-mainnet,!provider:dune,"[""[Dashboard](http://dune.com/kalen/filecoin-daily-metrics)""]",mainnet,,,,,
messari-mainnet,!provider:messari,"[""[Dashboard](https://messari.io/project/filecoin)""]",mainnet,,,,,
starboard-mainnet,!provider:starboard,,mainnet,,,,,
statuspage-mainnet,!provider:statuspage,"[""[Dashboard](https://filecoin.statuspage.io/)""]",mainnet,,,,,
fil-plus-datacap,!provider:fil-plus-datacap,,mainnet,,,,,
cid-checker-mainnet,!provider:cid-checker,,mainnet,,,,,
cid-checker-calibnet,!provider:cid-checker,,calibnet,,,,,
