slug,provider,actionButtons,chain,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing
somnia-mainnet,Somnia,"[""[Explore](https://mainnet.somnia.w3us.site/)"",""[Docs](https://docs.somnia.network/developer/infrastructure-providers/explorers)""]",mainnet,Blockscout,"[""Accounts"",""Transactions"",""Blocks"",""Tokens"",""Gas"",""Contracts""]","[""Token Tracker"",""Network Metrics""]",TRUE,"[""REST"",""GraphQL""]","[""TypeScript"",""Node.js""]","[""Address"",""Transaction Hash"",""Block"",""Token""]",TRUE,TRUE,Free
somnia-testnet,Somnia,"[""[Explore](https://shannon-explorer.somnia.network/)"",""[Docs](https://docs.somnia.network/developer/infrastructure-providers/explorers)""]",testnet,Blockscout,"[""Accounts"",""Transactions"",""Blocks"",""Tokens"",""Gas"",""Contracts""]","[""Token Tracker"",""Network Metrics""]",FALSE,"[""REST"",""GraphQL""]","[""TypeScript"",""Node.js""]","[""Address"",""Transaction Hash"",""Block"",""Token""]",TRUE,TRUE,Free
