slug,provider,actionButtons,chain,technology,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,availableApis,monitoringAndAnalytics,additionalFeatures,auditsPerformed,starred
dia-mainnet,!provider:dia,"[""[Docs](https://www.diadata.org/docs/nexus/how-to-guides/fetch-price-data/chain-specific-guide/somnia#somnia)""]",mainnet,,,,,,,,,,,
dia-testnet,!provider:dia,"[""[Docs](https://www.diadata.org/docs/nexus/how-to-guides/fetch-price-data/chain-specific-guide/somnia#somnia)""]",testnet,,,,,,,,,,,
protofire-chainlink-mainnet,Protofire,"[""[Docs](https://docs.somnia.network/developer/how-to-guides/oracles/protofire-price-feeds)""]",mainnet,Chainlink,"[""Asset Prices"",""Randomness""]",Decentralized,TRUE,"Audited network, high TVL","[""TypeScript"",""Solidity""]","[""Price Feed"",""VRF"",""Proof of Reserve""]","[""Node performance metrics""]","[""Compatible with Chainlink decentralized nodes""]",,TRUE
protofire-chainlink-testnet,Protofire,"[""[Docs](https://docs.somnia.network/developer/how-to-guides/oracles/protofire-chainlink-vrf-v2.5)""]",testnet,Chainlink ,"[""Asset Prices"",""Randomness""]",Decentralized,TRUE,"Audited network, high TVL","[""TypeScript"",""Solidity""]","[""Price Feed"",""VRF"",""Proof of Reserve""]","[""Node performance metrics""]","[""Compatible with Chainlink decentralized nodes""]",,TRUE
