slug,provider,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,supportSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address
goldsky-testnet-enterprise-indexer,!provider:goldsky-enterprise-indexer,"[""[Contact](https://goldsky.com/pricing)"",""[Docs](https://docs.goldsky.com/subgraphs/introduction)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,
goldsky-testnet-free-indexer,!provider:goldsky-free-indexer,"[""[Website](https://goldsky.com/chains/somnia)"",""[Docs](https://docs.goldsky.com/subgraphs/introduction)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,
goldsky-testnet-pay-as-you-go-indexer,!provider:goldsky-pay-as-you-go-indexer,"[""[Buy](https://goldsky.com/pricing)"",""[Docs](https://docs.goldsky.com/subgraphs/introduction)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,
ormi-mainnet-enterprise-indexer,!provider:ormi-enterprise-indexer,"[""[Contact](https://calendly.com/ormilabs)"",""[Docs](https://docs.ormilabs.com/dedicated-env/somnia/subgraphs/overview#supported-networks)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
ormi-mainnet-free-indexer,!provider:ormi-free-indexer,"[""[Website](https://ormilabs.com/chain-list/somnia/)"",""[Docs](https://docs.ormilabs.com/dedicated-env/somnia/subgraphs/overview#supported-networks)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
ormi-mainnet-pay-as-you-go-indexer,!provider:ormi-pay-as-you-go-indexer,"[""[Buy](https://ormilabs.com/pricing)"",""[Docs](https://docs.ormilabs.com/dedicated-env/somnia/subgraphs/overview#supported-networks)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
ormi-testnet-enterprise-indexer,!provider:ormi-enterprise-indexer,"[""[Contact](https://calendly.com/ormilabs)"",""[Docs](https://docs.ormilabs.com/dedicated-env/somnia/subgraphs/overview#supported-networks)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,
ormi-testnet-free-indexer,!provider:ormi-free-indexer,"[""[Website](https://ormilabs.com/chain-list/somnia/)"",""[Docs](https://docs.ormilabs.com/dedicated-env/somnia/subgraphs/overview#supported-networks)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,
ormi-testnet-pay-as-you-go-indexer,!provider:ormi-pay-as-you-go-indexer,"[""[Buy](https://ormilabs.com/pricing)"",""[Docs](https://docs.ormilabs.com/dedicated-env/somnia/subgraphs/overview#supported-networks)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,
publicnode-mainnet-public-recent-state,!provider:publicnode-public-recent-state,"[""[Website](https://somnia.publicnode.com/)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
somnia-mainnet-free-recent-state,Somnia,"[""[Website](https://browser.somnia.network/)"",""[Docs](https://docs.somnia.network/)""]",,Free,Pruned,RPC,EVM JSON-RPC,mainnet,$0,$0,NULL,NULL,NULL,NULL,NULL,NULL,,TRUE,FALSE,"[""eth"",""web3"",""net""]","[""Rate limits apply""]","[""DDoS Protection"",""IP Protection""]","[""Usage analytics""]","[""Global""]",,
somnia-testnet-free-recent-state,Somnia,"[""[Website](https://browser.somnia.network/)"",""[Docs](https://docs.somnia.network/)""]",,Free,Pruned,RPC,EVM JSON-RPC,testnet,$0,$0,NULL,NULL,NULL,NULL,NULL,NULL,,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""Rate limits apply""]","[""DDoS Protection"",""IP Protection""]","[""Usage analytics""]","[""Global""]",,
