slug,provider,actionButtons,chain,requiresLogin,hasCaptcha,price,starred,requiredMainnetBalance,dripLimitAmount,dripLimitPeriod,additionalNotes
somnia-testnet-faucet,Somnia Network,"[""[Get tokens](https://testnet.somnia.network/)""]",testnet,FALSE,TRUE,$0,FALSE,,,,
somnia-thirdweb-faucet,Thirdweb,"[""[Get tokens](https://thirdweb.com/somnia-shannon-testnet)""]",testnet,FALSE,TRUE,$0,FALSE,,,,
somnia-google-cloud-faucet,Google Cloud,"[""[Get tokens](https://cloud.google.com/application/web3/faucet/somnia/shannon)""]",testnet,FALSE,TRUE,$0,FALSE,,,,
