slug,provider,actionButtons,chain,dataSources,hasDashboard,availableApis,price,planName,planType,starred
defillama-mainnet,!provider:defillama,"[""[Dashboard](https://defillama.com/chain/somnia)""]",mainnet,,,,,,,
dune-mainnet,!provider:dune,"[""[Dashboard](https://dune.com/chains/somnia)""]",mainnet,,,,,,,
messari-mainnet,!provider:messari,"[""[Dashboard](https://messari.io/project/somnia)""]",mainnet,,,,,,,
nansen-mainnet,!provider:nansen,"[""[Dashboard](https://app.nansen.ai/macro/overview?chain=somnia)""]",mainnet,,,,,,,
