slug,provider,actionButtons,chain,technology,txSpeedSla,throughputSla,openSource,support,starred,availableApis,monitoringAndAnalytics,additionalFeatures,assetTypes,price,economicalSecurity,economicalSecurityNote,auditsPerformed,decentralizationModel,sdk,supportedChains
celer-astar,!provider:celer,,astar,,,,,,,,,,,,,,,,,
celer-shiden,!provider:celer,,shiden,,,,,,,,,,,,,,,,,
wanchain-bridge-astar,!provider:wanchain,,astar,,,,,,,,,,,,,,,,,
