slug,provider,actionButtons,chain,requiresLogin,hasCaptcha,price,starred,requiredMainnetBalance,dripLimitAmount,dripLimitPeriod,additionalNotes
astar-shibuya,!provider:astar-faucet,"[""[Get tokens](https://portal.astar.network/shibuya-testnet/assets)""]",shibuya,,,,,,10 SBY,,
chainlink-shibuya,!provider:chainlink-faucet,"[""[Get tokens](https://faucets.chain.link/astar-shibuya)""]",shibuya,,,,,,25 LINK,,
