slug,provider,actionButtons,plan,nodeType,chain,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,address
startale-astar-pay-as-you-go,!provider:startale-pay-as-you-go-full-archive,,,,astar,,,,,,,,,,,,,,,,
startale-astar-enterprise,!provider:startale-enterprise-full-archive,,,,astar,,,,,,,,,,,,,,,,
startale-shiden-free,!provider:startale-free-recent-state,,,,shiden,,,,,,,,,,,,,,,,
startale-shiden-pay-as-you-go,!provider:startale-pay-as-you-go-full-archive,,,,shiden,,,,,,,,,,,,,,,,
startale-shiden-enterprise,!provider:startale-enterprise-full-archive,,,,shiden,,,,,,,,,,,,,,,,
thirdweb-astar-free,!provider:thirdweb-free-recent-state,,,,astar,,,,,,,,,,,,,,,,
thirdweb-shiden-free,!provider:thirdweb-free-recent-state,,,,shiden,,,,,,,,,,,,,,,,
thirdweb-astar-pay-as-you-go,!provider:thirdweb-pay-as-you-go-recent-state,,,,astar,,,,,,,,,,,,,,,,
thirdweb-shiden-pay-as-you-go,!provider:thirdweb-pay-as-you-go-recent-state,,,,shiden,,,,,,,,,,,,,,,,
thirdweb-astar-dedicated,!provider:thirdweb-dedicated-recent-state,,,,astar,,,,,,,,,,,,,,,,
thirdweb-shiden-dedicated,!provider:thirdweb-dedicated-recent-state,,,,shiden,,,,,,,,,,,,,,,,
thirdweb-astar-enterprise,!provider:thirdweb-enterprise-recent-state,,,,astar,,,,,,,,,,,,,,,,
thirdweb-shiden-enterprise,!provider:thirdweb-enterprise-recent-state,,,,shiden,,,,,,,,,,,,,,,,
