slug,provider,actionButtons,chain,requiresLogin,hasCaptcha,requiredMainnetBalance,price,starred,additionalNotes,dripLimitAmount,dripLimitPeriod
chainstack-faucet,!provider:chainstack-faucet,"[""[Faucet](https://faucet.chainstack.com/ton-testnet-faucet)""]",testnet,,,,,,,up to 1 TON,
ghost-faucet,!provider:ghost-faucet,"[""[Faucet](https://ghostchain.io/faucet/ton-testnet/)""]",testnet,,,,,,,0.01 TON,
ton-testnet-faucet,TON,"[""[Faucet](https://www.findmini.app/testgiver_ton_bot/)""]",testnet,FALSE,TRUE,,$0,FALSE,"[""Telegram bot""]",2 TON,1h
