slug,provider,actionButtons,chain,dataSources,hasDashboard,availableApis,price,planName,planType,starred
blockworks-mainnet,!provider:blockworks,"[""[Dashboard](https://blockworks.com/analytics/aptos)""]",mainnet,,,,,,,
cryptoquant-mainnet,!provider:cryptoquant,"[""[Dashboard](https://cryptoquant.com/asset/apt/summary)""]",mainnet,,,,,,,
defillama-mainnet,!provider:defillama,"[""[Dashboard](https://defillama.com/chain/aptos)""]",mainnet,,,,,,,
dexscreener-mainnet,!provider:dexscreener,"[""[Dashboard](https://dexscreener.com/aptos)""]",mainnet,,,,,,,
dune-mainnet,!provider:dune,"[""[Dashboard](https://dune.com/blockchains/aptos)""]",mainnet,,,,,,,
messari-mainnet,!provider:messari,"[""[Dashboard](https://messari.io/project/aptos)""]",mainnet,,,,,,,
nansen-mainnet,!provider:nansen,"[""[Dashboard](https://app.nansen.ai/macro/overview?chain=aptos)""]",mainnet,,,,,,,
tokenrterminal-mainnet,!provider:tokenterminal,"[""[Dashboard](https://tokenterminal.com/explorer/studio/dashboards/a18c3307-36db-4e2d-8721-599d6e6d6cae)""]",mainnet,,,,,,,
