slug,provider,actionButtons,chain,requiresLogin,hasCaptcha,requiredMainnetBalance,price,dripLimitAmount,dripLimitPeriod,additionalNotes,starred
stakely-faucet,!provider:stakely-faucet,"[""[Faucet](https://stakely.io/faucet/aptos-apt)""]",mainnet,,,,,0.00088 APT,,,
circle-faucet-usdc,!provider:circle-faucet-usdc,,testnet,,,,,1 USDC,,,
