slug,provider,actionButtons,chain,technology,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,availableApis,monitoringAndAnalytics,additionalFeatures,auditsPerformed,starred
chainlink-mainnet,!provider:chainlink,"[""[Docs](https://docs.chain.link/ccip/directory/mainnet/chain/aptos-mainnet)""]",mainnet,,,,,,,,,,,
chainlink-testnet,!provider:chainlink,"[""[Docs](https://docs.chain.link/ccip/directory/testnet/chain/aptos-testnet)""]",testnet,,,,,,,,,,,
pyth-mainnet,!provider:pyth,"[""[Docs](https://docs.pyth.network/price-feeds/core/contract-addresses/aptos)""]",mainnet,,,,,,,,,,,
pyth-testnet,!provider:pyth,"[""[Docs](https://docs.pyth.network/price-feeds/core/contract-addresses/aptos)""]",testnet,,,,,,,,,,,
supra-mainnet,!provider:supra,"[""[Docs](https://docs.supra.com/oracles/data-feeds/pull-oracle#aptos)""]",mainnet,,,,,,,,,,,
supra-testnet,!provider:supra,"[""[Docs](https://docs.supra.com/oracles/data-feeds/pull-oracle#aptos)""]",testnet,,,,,,,,,,,
