slug,provider,actionButtons,chain,requiresLogin,hasCaptcha,requiredMainnetBalance,price,dripLimitAmount,dripLimitPeriod,additionalNotes,starred
algorand-testnet-dispenser-algo,Algorand,"[""[Faucet](https://dispenser.testnet.aws.algodev.network/)""]",testnet,FALSE,TRUE,,$0,5 Algo,,"[""Required not to abuse it by requesting more Algos than needed for testing""]",FALSE
algorand-testnet-dispenser-usdc,Algorand,"[""[Faucet](https://dispenser.testnet.aws.algodev.network/)""]",testnet,FALSE,TRUE,,$0,100 USDC,,"[""Required not to abuse it by requesting more USDC than needed for testing""]",FALSE
algorand-testnet-dispenser-additional-algo,Algorand,"[""[Faucet](https://bank.testnet.algorand.network/)""]",testnet,FALSE,TRUE,,$0,10 Algo,,"[""Required not to abuse it by requesting more Algos than needed for testing""]",FALSE
