slug,provider,actionButtons,chain,technology,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,availableApis,monitoringAndAnalytics,additionalFeatures,auditsPerformed,starred
goracle-mainnet,Gora,"[""[Docs](https://github.com/GoraNetwork)""]",mainnet,Custom,"[""Financial data"",""Sports stats"",""Supply chain milestones"",""Healthcare metrics""]",Decentralized,TRUE,Node runners secured by token delegation and governance on Algorand blockchain,"[""TypeScript"",""Python"",""JavaScript"",""CSS"",""Cairo""]","[""REST API""]","[""Decentralized node monitoring"",""Ecosystem rewards""]","[""Industry-specific fully customizable oracle solution"",""multiple industry templates""]",,FALSE
tellor-mainnet,Tellor,"[""[Docs](https://docs.tellor.io/tellor/)""]",mainnet,Custom,"[""Price Feeds"",""Custom Data""]",Decentralized,TRUE,"Staking requirement, dispute mechanism","[""TypeScript"",""JavaScript"",""Solidity""]","[""REST API"",""GraphQL""]","[""Dashboard"",""Uptime Monitoring"",""Node Stats""]","[""Enshrined feeds"",""Custom data types""]","[""Trail of Bits"",""CertiK"",""Zellic""]",FALSE
