slug,provider,actionButtons,chain,requiresLogin,hasCaptcha,requiredMainnetBalance,price,dripLimitAmount,dripLimitPeriod,additionalNotes,starred
flare-coston-faucet,Flare Network,"[""[Get tokens](https://faucet.flare.network/coston)""]",coston,FALSE,TRUE,,$0,100 CFLR,24h,,TRUE
flare-coston2-faucet-c2flr,Flare Network,"[""[Get tokens](https://faucet.flare.network/coston2)""]",coston2,FALSE,TRUE,,$0,100 C2FLR,24h,,TRUE
flare-coston2-faucet-fxrp,Flare Network,"[""[Get tokens](https://faucet.flare.network/coston2)""]",coston2,FALSE,TRUE,,$0,10 FXRP,24h,,TRUE
flare-coston2-faucet-usdt0,Flare Network,"[""[Get tokens](https://faucet.flare.network/coston2)""]",coston2,FALSE,TRUE,,$0,10 USDT0,24h,,TRUE
