slug,provider,actionButtons,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed
ftso-mainnet,FTSO,"[""[FLR/USD](https://flare-systems-explorer.flare.network/price-feeds/ftso?feed=01464c522f55534400000000000000000000000000)"", ""[SGB/USD](https://flare-systems-explorer.flare.network/price-feeds/ftso?feed=015347422f55534400000000000000000000000000)"", ""[Docs](https://dev.flare.network/ftso/getting-started)""]",mainnet,Native,TRUE,"[""Price Feed""]","[""Real-time Price Feeds"",""Stake-weighted Randomness""]","[""Decentralized Price Aggregation"",""Reward Sharing""]","[""Cryptocurrency Prices"",""Indices""]",Decentralized,TRUE,Inherits Flare network security,"[""Solidity""]",
ftso-songbird,FTSO,"[""[FLR/USD](https://flare-systems-explorer.flare.network/price-feeds/ftso?feed=01464c522f55534400000000000000000000000000)"", ""[SGB/USD](https://flare-systems-explorer.flare.network/price-feeds/ftso?feed=015347422f55534400000000000000000000000000)"", ""[Docs](https://dev.flare.network/ftso/getting-started)""]",Songbird,Native,TRUE,"[""Price Feed""]","[""Real-time Price Feeds"",""Stake-weighted Randomness""]","[""Decentralized Price Aggregation"",""Reward Sharing""]","[""Cryptocurrency Prices"",""Indices""]",Decentralized,TRUE,Inherits Songbird network security,"[""Solidity""]",
ftso-coston2,FTSO,"[""[Docs](https://dev.flare.network/ftso/getting-started)""]",coston2,Native,TRUE,"[""Price Feed""]","[""Real-time Price Feeds"",""Stake-weighted Randomness""]","[""Decentralized Price Aggregation"",""Reward Sharing""]","[""Cryptocurrency Prices"",""Indices""]",Decentralized,TRUE,Inherits Flare testnet security,"[""Solidity""]",
ftso-coston,FTSO,"[""[Docs](https://dev.flare.network/ftso/getting-started)""]",coston,Native,TRUE,"[""Price Feed""]","[""Real-time Price Feeds"",""Stake-weighted Randomness""]","[""Decentralized Price Aggregation"",""Reward Sharing""]","[""Cryptocurrency Prices"",""Indices""]",Decentralized,TRUE,Inherits Songbird testnet security,"[""Solidity""]",
fdc-mainnet,FDC,"[""[Docs](https://dev.flare.network/fdc/getting-started)""]",mainnet,Native,TRUE,"[""Cross-Chain Data""]","[""External Data Verification""]","[""Request-Commit-Reveal Protocol"",""Branching Protocol""]","[""Cross-Chain Transactions"",""Web2 API Data"",""IoT Data"",""Identity Proofs""]",Decentralized,TRUE,Inherits Flare network security,"[""Solidity""]",
fdc-songbird,FDC,"[""[Docs](https://dev.flare.network/fdc/getting-started)""]",Songbird,Native,TRUE,"[""Cross-Chain Data""]","[""External Data Verification""]","[""Request-Commit-Reveal Protocol"",""Branching Protocol""]","[""Cross-Chain Transactions"",""Web2 API Data"",""IoT Data"",""Identity Proofs""]",Decentralized,TRUE,Inherits Songbird network security,"[""Solidity""]",
fdc-coston2,FDC,"[""[Docs](https://dev.flare.network/fdc/getting-started)""]",coston2,Native,TRUE,"[""Cross-Chain Data""]","[""External Data Verification""]","[""Request-Commit-Reveal Protocol"",""Branching Protocol""]","[""Cross-Chain Transactions"",""Web2 API Data"",""IoT Data"",""Identity Proofs""]",Decentralized,TRUE,Inherits Flare testnet security,"[""Solidity""]",
fdc-coston,FDC,"[""[Docs](https://dev.flare.network/fdc/getting-started)""]",coston,Native,TRUE,"[""Cross-Chain Data""]","[""External Data Verification""]","[""Request-Commit-Reveal Protocol"",""Branching Protocol""]","[""Cross-Chain Transactions"",""Web2 API Data"",""IoT Data"",""Identity Proofs""]",Decentralized,TRUE,Inherits Songbird testnet security,"[""Solidity""]",
