slug,provider,actionButtons,chain,dataSources,hasDashboard,availableApis,price,planName,planType,starred
arkham-mainnet,!provider:arkham,"[""[Dashboard](https://intel.arkm.com/explorer/entity/flare-network)""]",mainnet,,,,,,,
dune-mainnet,!provider:dune,"[""[Dashboard](https://dune.com/flare/flare-network-overview)""]",mainnet,,,,,,,
flaremetrics-mainnet,Flare Metrics,"[""[Dashboard](https://flaremetrics.io/)""]",mainnet,"[""FTSO Data"",""Staking Rewards"",""Vote Power"",""Validator Activity"",""DeFi Metrics""]",TRUE,,$0,,Free,TRUE
flaremetrics-songbird,Flare Metrics,"[""[Dashboard](https://flaremetrics.io/songbird)""]",songbird,"[""FTSO Data"",""Staking Rewards"",""Vote Power"",""Validator Activity"",""DeFi Metrics""]",TRUE,,$0,,Free,TRUE
flarespace-mainnet,Flare.Space,"[""[Dashboard](https://flare.space/)""]",mainnet,"[""Delegation Metrics"",""Staking Metrics"",""Smart Contracts"",""Tokens"",""Cross-Chain Activity""]",TRUE,,$0,,Free,TRUE
flaresystems-mainnet,Flare Systems,"[""[Dashboard](https://flare-systems-explorer.flare.network/)""]",mainnet,"[""FTSO Data"",""Staking Rewards"",""Epoch Status"",""Vote Power"",""Validator Activity""]",TRUE,,$0,,Free,TRUE
