slug,provider,actionButtons,chain,requiresLogin,hasCaptcha,requiredMainnetBalance,price,dripLimitAmount,dripLimitPeriod,additionalNotes,starred
coinbase-developer-platform-faucet,Coinbase,"[""[Faucet](https://login.coinbase.com/)""]",testnet,TRUE,FALSE,,$0,0.0001 ETH,24h,"[""Requires heavy identity scanning""]",FALSE
thirdweb-faucet,Thirdweb,"[""[Faucet](https://thirdweb.com/base-sepolia-testnet)""]",testnet,TRUE,TRUE,,$99,0.01 ETH,NULL,"[""Available only on a paid plans""]",FALSE
alchemy-faucet,Alchemy,"[""[Faucet](https://www.alchemy.com/faucets/base-sepolia)""]",testnet,FALSE,TRUE,0.001 ETH,$0,0.1 ETH/1 ETH72h,72h,,FALSE
chainstack-faucet,Chainstack,"[""[Faucet](https://faucet.chainstack.com/base-testnet-faucet)""]",testnet,TRUE,FALSE,0.08 ETH,$0,0.5 ETH ,24h,"[""The address must have transaction history""]",FALSE
quicknode-faucet,QuickNode,"[""[Faucet](https://faucet.quicknode.com/drip)""]",sepolia,FALSE,FALSE,0.001 ETH,$0,0.001 ETH ,12h,,FALSE
learnweb3-faucet,LearnWeb3,"[""[Faucet](https://learnweb3.io/faucets/base_sepolia/)""]",testnet,TRUE,FALSE,,$0,0.01 ETH,24h,,FALSE
ethereum-ecosystem-faucet,Ethereum Ecosystem,"[""[Faucet](https://www.ethereum-ecosystem.com/faucets/base-sepolia)""]",testnet,FALSE,TRUE,,$0,0.5 ETH ,24h,"[""Only ENS names are allowed to redeem""]",FALSE
