slug,provider,actionButtons,chain,dataSources,hasDashboard,availableApis,price,planName,planType,starred
blockworks-mainnet,!provider:blockworks,"[""[Dashboard](https://blockworks.com/analytics/base)""]",mainnet,,,,,,,
dappradar-mainnet,!provider:dappradar,"[""[Dashboard](https://dappradar.com/chain/base)""]",mainnet,,,,,,,
defillama-mainnet,!provider:defillama,"[""[Dashboard](https://defillama.com/chain/base)""]",mainnet,,,,,,,
dune-mainnet,!provider:dune,"[""[DEX Metrics](https://dune.com/sealaunch/dex-metrics-on-base)"",""[Network analytics](https://dune.com/tk-research/base)""]",mainnet,,,,,,,
growthepie-mainnet,!provider:growthepie,"[""[Dashboard](https://www.growthepie.com/chains/base)""]",mainnet,,,,,,,
jiffyscan-mainnet,!provider:jiffyscan,"[""[Dashboard](https://jiffyscan.xyz/?network=base)""]",mainnet,,,,,,,
l2beat-mainnet,!provider:l2beat,"[""[Dashboard](https://l2beat.com/scaling/projects/base)""]",mainnet,,,,,,,
sentry-aleno-mainnet,!provider:sentry-aleno,"[""[Dashboard](https://docs.aleno.ai/supported-liquidity-sources#blockchains-dex-sources)""]",mainnet,,,,,,,
tokenterminal,!provider:tokenterminal,"[""[Dashboard](https://tokenterminal.com/explorer/projects/base)""]",mainnet,,,,,,,
