slug,provider,actionButtons,chain,requiresLogin,hasCaptcha,requiredMainnetBalance,price,dripLimitAmount,dripLimitPeriod,additionalNotes,starred
blockbolt-sui-faucet,Blockbolt,"[""[Faucet](https://faucet.blockbolt.io/)""]",testnet,FALSE,FALSE,,$0,1 SUI,24h,,FALSE
circle-faucet-usdc,!provider:circle-faucet-usdc,,testnet,,,,,1 USDC,,,
stakely-faucet,!provider:stakely-faucet,"[""[Faucet](https://stakely.io/faucet/sui-testnet-sui)""]",testnet,,,,,,,,
sui-faucet,Sui,"[""[Faucet](https://faucet.sui.io/?network=testnet)""]",testnet,FALSE,TRUE,,$0,1 SUI,,,FALSE
