slug,provider,actionButtons,chain,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing
polygonscan-mainnet,Polygonscan,"[""[Explorer](https://polygonscan.com/)""]",mainnet,Etherscan,"[""Transactions"",""Token transfers"",""Blocks"",""Addresses""]","[""Verified Contracts"",""API access""]",TRUE,"[""REST API""]",,"[""Search"",""Filter"",""Labels""]",TRUE,TRUE,Free
polygonscan-amoy,Polygonscan,"[""[Explorer](https://amoy.polygonscan.com/)""]",amoy,Etherscan,"[""Transactions"",""Token transfers"",""Blocks"",""Addresses""]","[""Verified Contracts"",""API access""]",TRUE,"[""REST API""]",,"[""Search"",""Filter""]",TRUE,TRUE,Free
blockscout-mainnet,!provider:blockscout,"[""[Explorer](https://polygon.blockscout.com/)""]",mainnet,,,,,,,,,,
oklink-mainnet,!provider:oklink,"[""[Explorer](https://www.oklink.com/polygon)""]",mainnet,,,,,,,,,,
oklink-amoy,!provider:oklink,"[""[Explorer](https://www.oklink.com/amoy)""]",amoy,,,,,,,,,,
okxexplorer-mainnet,!provider:okx,"[""[Explorer](https://web3.okx.com/explorer/polygon)""]",mainnet,,,,,,,,,,
okxexplorer-amoy,!provider:okx,"[""[Explorer](https://web3.okx.com/explorer/amoy)""]",amoy,,,,,,,,,,
