slug,provider,actionButtons,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed
api3-mainnet,!provider:api3,"[""[Docs](https://docs.api3.org/dapps/)""]",mainnet,,,,,,,,,,,
chainlink-amoy,!provider:chainlink,"[""[Docs](https://docs.chain.link/)""]",amoy,,,,,,,,,,,
chainlink-mainnet,!provider:chainlink,"[""[POL/USD](https://data.chain.link/streams/pol-usd-cexprice-streams)"", ""[Docs](https://docs.chain.link/)""]",mainnet,,,,,,,,,,,
dia-mainnet,!provider:dia,"[""[Docs](https://www.diadata.org/docs/home)""]",mainnet,,,,,,,,,,,
pyth-mainnet,!provider:pyth,"[""[Docs](https://docs.pyth.network/price-feeds/core/getting-started)""]",mainnet,,,,,,,,,,,
seda-mainnet,Seda,"[""[Docs](https://docs.seda.xyz/home)""]",mainnet,Decentralized Oracle Network,FALSE,"[""Price Feeds""]","[""Analytics Dashboard""]","[""Decentralized oracle with focus on data privacy""]","[""Price Feeds""]",Semi-Decentralized,TRUE,Uses privacy-preserving techniques and community validation,"[""JavaScript SDK""]",
supra-mainnet,!provider:supra,"[""[Docs](https://docs.supra.com/)""]",mainnet,,,,,,,,,,,
uma-mainnet,!provider:uma,"[""[Docs](https://docs.uma.xyz/)""]",mainnet,,,,,,,,,,,
