slug,provider,actionButtons,chain,dataSources,hasDashboard,availableApis,price,planName,planType,starred
arkham-polygon,!provider:arkham,"[""[Dashboard](https://intel.arkm.com/explorer/entity/polygon)""]",mainnet,,,,,,,
dexscreener-polygon,!provider:dexscreener,"[""[Dashboard](https://dexscreener.com/polygon)""]",mainnet,,,,,,,
dune-polygon,!provider:dune,"[""[Dashboard](https://dune.com/blockchains/polygon)""]",mainnet,,,,,,,
messari-polygon,!provider:messari,"[""[Dashboard](https://messari.io/project/polygon-ecosystem-token)""]",mainnet,,,,,,,
nansen-polygon,!provider:nansen,"[""[Dashboard](https://app.nansen.ai/macro/overview?chain=polygon)""]",mainnet,,,,,,,
