slug,provider,actionButtons,chain,dataSources,hasDashboard,availableApis,price,planName,planType,starred
arkham-mainnet,!provider:arkham,"[""[Dashboard](https://intel.arkm.com/explorer/entity/fantom)""]",mainnet,,,,,,,
cryptoquant-mainnet,!provider:cryptoquant,"[""[Dashboard](https://cryptoquant.com/asset/s/summary)""]",mainnet,,,,,,,
defillama-mainnet,!provider:defillama,"[""[Dashboard](https://defillama.com/chain/sonic)""]",mainnet,,,,,,,
dexscreener-mainnet,!provider:dexscreener,"[""[Dashboard](https://dexscreener.com/sonic)""]",mainnet,,,,,,,
dune-mainnet,!provider:dune,"[""[Dashboard](https://dune.com/blockchains/sonic)""]",mainnet,,,,,,,
messari-mainnet,!provider:messari,"[""[Dashboard](https://messari.io/project/sonic-labs)""]",mainnet,,,,,,,
nansen-mainnet,!provider:nansen,"[""[Dashboard](https://app.nansen.ai/macro/overview?chain=sonic)""]",mainnet,,,,,,,
tokenterminal-mainnet,!provider:tokenterminal,"[""[Dashboard](https://tokenterminal.com/explorer/projects/sonic)""]",mainnet,,,,,,,
