slug,provider,actionButtons,chain,requiresLogin,hasCaptcha,requiredMainnetBalance,price,starred,additionalNotes,dripLimitAmount,dripLimitPeriod
chainlink-faucet-link,!provider:chainlink-faucet-link,,testnet,,,,,,,,
circle-faucet-usdc,!provider:circle-faucet-usdc,,testnet,,,,,,,1 USDC,2h
stakely-faucet,!provider:stakely-faucet,"[""[Faucet](https://stakely.io/faucet/sonic-s)""]",mainnet,,,,,,,0.01 S,
