slug,provider,actionButtons,chain,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing
lineascan-mainnet,Lineascan,"[""[Explore](https://lineascan.build/)"",""[Docs](https://docs.etherscan.io/etherscan-v2)""]",mainnet,Etherscan,"[""Accounts"",""Transactions"",""Blocks"",""Tokens"",""Gas"",""Contracts""]","[""Token Tracker"",""NFT Tracking"",""Network Metrics""]",TRUE,"[""REST"",""GraphQL""]","[""TypeScript"",""Node.js""]","[""Address"",""Transaction Hash"",""Block"",""Token""]",TRUE,TRUE,Free
lineascan-sepolia,Lineascan,"[""[Explore](https://sepolia.lineascan.build/)"",""[Docs](https://docs.etherscan.io/etherscan-v2)""]",sepolia,Etherscan,"[""Accounts"",""Transactions"",""Blocks"",""Tokens"",""Gas"",""Contracts""]","[""Token Tracker"",""NFT Tracking"",""Network Metrics""]",TRUE,"[""REST"",""GraphQL""]","[""TypeScript"",""Node.js""]","[""Address"",""Transaction Hash"",""Block"",""Token""]",TRUE,TRUE,Free
chainlens-mainnet,Chainlens,"[""[Explore](https://linea.chainlens.com/)"",""[Docs](https://docs.chainlens.com/)""]",mainnet,Custom,"[""Accounts"",""Transactions"",""Blocks"",""Tokens"",""Contracts""]","[""Token Tracker"",""NFT Tracking""]",FALSE,"[""REST""]","[""TypeScript""]","[""Address"",""Transaction Hash"",""Block"",""Token""]",TRUE,TRUE,Free
oklink-mainnet,!provider:oklink,"[""[Explore](https://www.oklink.com/linea/)"",""[Docs](https://www.oklink.com/docs/en/#developer-tools)""]",mainnet,,,,,,,,,,
oklink-sepolia,!provider:oklink,"[""[Explore](https://www.oklink.com/ru/sepolia)"",""[Docs](https://www.oklink.com/docs/en/#developer-tools)""]",sepolia,,,,,,,,,,
blockscout-mainnet,!provider:blockscout,"[""[Explore](https://explorer.linea.build/)"",""[Docs](https://explorer.linea.build/api-docs)""]",mainnet,,,,,,,,,,
blockscout-sepolia,!provider:blockscout,"[""[Explore](https://explorer.sepolia.linea.build/)"",""[Docs](https://explorer.sepolia.linea.build/api-docs)""]",sepolia,,,,,,,,,,
arkham-mainnet,!provider:arkham,,mainnet,,,,,,,,,,
0xppl-linea,0xPPL,"[""[Explore](https://0xppl.com/Linea/overview)""]",mainnet,Custom,"[""Accounts"",""Transactions"",""Blocks"",""Tokens"",""Contracts""]","[""Token Tracker"",""Leaderboards"",""Community Stats""]",FALSE,,"[""JavaScript"",""TypeScript""]","[""Address"",""Transaction Hash"",""Block"",""Token""]",TRUE,FALSE,Free
