slug,provider,actionButtons,chain,dataSources,hasDashboard,availableApis,price,planName,planType,starred
arkham-intel-mainnet,!provider:arkham,"[""[Dashboard](https://intel.arkm.com/explorer/entity/linea)""]",mainnet,,,,,,,
cookie3-mainnet,Cookie3,"[""[Dashboard](https://app.cookie3.co/)""]",mainnet,"[""Onchain Analytics"",""KOL Engagement"",""User Journey"",""Wallet Interactions"",""Campaign Tracking""]",TRUE,,"$749/$299/$749/mo (monthly plan), $674/$269/$674/mo (quarterly plan), $599/$249/$599/mo (yearly plan)",,Tiered,FALSE
dune-linea-mainnet,!provider:dune,"[""[Dashboard](https://dune.com/linea/linea-overview)""]",mainnet,,,,,,,
